Antonio Rüdiger 	12	685	1	0	0	0	7	2	29% 	2	0	0% 	0	2	0	2	4	3	0	0	1	0	0	0	0	0	0	0	3	0	0	2	93% 	0	0	0	0	0	0
Antonio Sánchez 	14	580	0	0	0	0	9	4	44% 	14	4	29% 	0	4	11	14	8	2	0	0	4	0	1	1	0	0	0	0	0	0	8	2	81% 	0	0	0	0	0	0
Anuar Mohamed 	3	210	1	0	0	0	3	1	33% 	1	0	0% 	0	3	6	3	3	4	0	0	1	0	0	0	0	0	0	0	2	0	2	4	78% 	0	0	0	0	0	0
Aridane Hernández 	3	144	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	79% 	0	1	0	0	0	0
Aritz Elustondo 	11	618	0	0	0	0	4	0	0% 	3	2	67% 	0	0	5	12	8	9	0	0	3	1	0	0	0	0	0	0	4	0	1	3	84% 	0	1	0	0	0	0
Arnau Martínez 	11	811	2	1	0	0	12	2	17% 	22	5	23% 	0	3	22	7	9	10	0	0	2	0	0	0	0	0	0	0	2	0	5	15	81% 	0	0	0	0	0	0
Arnau Puigmal 	7	241	0	0	0	0	4	0	0% 	7	0	0% 	0	4	6	2	3	1	0	0	3	0	1	0	0	0	0	0	0	0	2	3	75% 	2	2	0	0	0	0
Arnau Tenas 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Arnaut Danjuma 	9	476	2	0	0	0	8	4	50% 	6	3	50% 	0	1	7	2	0	3	0	0	0	0	0	0	1	1	0	0	0	0	2	4	73% 	0	0	0	0	0	0
Arvin Appiah 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Asier Illarramendi 	6	153	1	0	0	0	2	2	100% 	0	0	0% 	0	0	3	6	7	0	0	0	2	0	0	0	0	0	0	0	1	0	1	2	80% 	0	1	0	0	0	0
Asier Villalibre 	4	92	0	0	0	0	4	1	25% 	0	0	0% 	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	54% 	0	0	0	0	0	0
